ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error,status,fail_reasons,score_total,score_dividend,score_call,score_liquidity,score_quality,score_risk_fit,combined_income_score_proxy
TSLA,EQUITY,marketCap,1508027400192.0,400.97,,,2.10451092574207,0.4898659505345237,1.1550295857988164,0.5376568165715,2026-05-15,28,435.0,9.0,9.1,9.05,6283.0,1946.0,23755.0,0.0848691922088933,0.011049723756906,0.0225702671022769,0.2942195532975392,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,dividend_yield_missing;beta_1y>1.2;max_drawdown_3y>0.45,0.64,0.0,1.0,1.0,0.6,0.5,
AMD,EQUITY,marketCap,454900940800.0,277.99,,,2.099835664391827,0.5806544820994515,2.023020957758714,0.6300028384899234,2026-05-15,28,300.0,9.65,9.95,9.8,10299.0,2116.0,17953.0,0.0791755099104283,0.030612244897959,0.035253066657074,0.4595489046368574,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,dividend_yield_missing;beta_1y>1.2;max_drawdown_3y>0.45,0.64,0.0,1.0,1.0,0.6,0.5,
AMZN,EQUITY,marketCap,2730612228096.0,250.56,,,1.519224990808839,0.3138818659534811,1.4465820312499995,0.3087664215483765,2026-05-15,28,270.0,,,4.45,15311.0,0.0,42580.0,0.0775862068965518,,0.0177602171136653,0.2315171159459952,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,dividend_yield_missing;selected_call_spread_pct_missing;beta_1y>1.2,0.617662,0.0,1.0,0.7,0.851082,0.5,
MU,EQUITY,marketCap,517359271936.0,454.7,0.495,0.0010886298658456,2.3695239030912516,0.5888427908420292,6.223333333333334,0.5782339524275009,2026-05-15,28,490.0,21.4,21.8,21.6,3224.0,409.0,14974.0,0.0776336045744447,0.0185185185185186,0.0475038486914449,0.6192465990134783,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,beta_1y>1.2;max_drawdown_3y>0.45,0.588149,0.013608,1.0,0.723733,0.6,0.5,0.6203352288793239
GE,EQUITY,marketCap,323933339648.0,304.26,1.55,0.0050943272201406,1.1782038432678972,0.2947109970873619,3.0442819148936167,0.2136425776646395,2026-05-15,28,330.0,3.75,4.5,4.125,1347.0,101.0,4290.0,0.0845986984815618,0.1818181818181818,0.0135574837310195,0.1767314843507902,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,selected_call_spread_pct>0.08,0.585734,0.063679,0.97821,0.131756,1.0,1.0,0.1818258115709308
NFLX,EQUITY,marketCap,411208777728.0,97.25,,,0.4508412032085611,0.3366278820455846,1.8108030040439056,0.4335001120155328,2026-05-15,28,105.0,0.92,0.94,0.93,40668.0,16335.0,44403.0,0.0796915167095115,0.0215053763440859,0.0095629820051413,0.1246603011384502,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,dividend_yield_missing,0.583721,0.0,0.631069,1.0,0.629333,1.0,
MSFT,EQUITY,marketCap,3159392256000.0,422.72,3.48,0.008232399697199,0.959308480144109,0.2448908701571727,0.4581493237648359,0.341837770029701,2026-05-15,28,455.0,6.1,6.75,6.425,1521.0,688.0,157673.0,0.0763626040878122,0.1011673151750973,0.0151991862225586,0.1981322489726397,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,selected_call_spread_pct>0.08,0.569486,0.102905,1.0,0.158822,0.746633,1.0,0.2063646486698387
LLY,EQUITY,marketCap,823605198848.0,927.625,6.23,0.006716076000539,0.6570660172278834,0.4148648170885202,1.4710915633746504,0.3482948271911001,2026-05-15,28,1000.0,18.45,20.4,19.424999999999997,1370.0,92.0,2127.0,0.0780218299420563,0.1003861003861003,0.0209405740466244,0.27297534025064,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,selected_call_spread_pct>0.08,0.565176,0.083951,1.0,0.135333,0.780809,1.0,0.279691416251179
META,EQUITY,marketCap,1734554157056.0,688.16,2.1,0.0030516159032783,1.6396305310986878,0.355887766590149,2.12480145223508,0.3420934746901597,2026-05-15,28,745.0,12.0,12.25,12.125,1010.0,85.0,6565.0,0.0825970704487328,0.0206185567010309,0.0176194489653568,0.2296821025841166,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,beta_1y>1.2,0.554178,0.038145,1.0,0.379333,0.791834,0.5,0.23273371848739488
LRCX,EQUITY,marketCap,334618820608.0,267.48,1.01,0.0037759832510841,2.383276124310482,0.4873456885897823,4.369181380417335,0.4758271977290872,2026-05-15,28,290.0,10.7,11.1,10.9,708.0,98.0,6151.0,0.0841932107073424,0.036697247706422,0.0407507103334828,0.5312146168471874,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,beta_1y>1.2;max_drawdown_3y>0.45,0.518271,0.0472,1.0,0.332356,0.6,0.5,0.5349906000982715
