ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error,status,fail_reasons,score_total,score_dividend,score_call,score_liquidity,score_quality,score_risk_fit,combined_income_score_proxy
HYG,ETF,marketCap,15716459520.0,80.41499999999999,4.66677,0.058033575825405706,0.2386847463114307,0.044907238692288985,0.07262047790682158,0.05736684917869583,2026-05-15,28.0,82.0,,,0.01,100183.0,0.0,403325.0,0.019710253062239724,,0.00012435490891002924,0.001621055062577167,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield<0.03;selected_call_spread_pct_missing;realized_vol_1y<0.08,0.489702,0.72542,0.0,0.7,0.57262,0.824536,0.059654630887982875
JEPI,ETF,totalAssets,43964334080.0,57.71,4.77478,0.08273748050597816,0.5455595542230671,0.09171463427023209,0.05341137735503931,0.15929639980272892,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;option_liquidity_missing,0.433012,1.0,0.0,0.0,0.553411,1.0,
SPY,ETF,marketCap,643970891776.0,702.21,7.3826,0.010513379188561826,1.0,0.13300998261310093,0.7195441735081485,0.18998906889856904,2026-05-15,28.0,750.0,,,0.32,6331.0,0.0,31407.0,0.06805656427564388,,0.00045570413409094145,0.0059404288908283445,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield<0.03;selected_call_spread_pct_missing,0.422854,0.131417,0.0,0.7,1.0,1.0,0.01645380807939017
QQQ,ETF,marketCap,251768750080.0,640.0550000000001,2.81196,0.004393309949926177,1.2298885716437713,0.17058746373311282,1.0459685663174034,0.22883303677342826,2026-05-15,28.0,690.0,,,0.89,4914.0,0.0,37422.0,0.07803235659435503,,0.0013905055034332985,0.018126232455469786,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield<0.03;selected_call_spread_pct_missing,0.401297,0.054916,0.0,0.687838,1.0,1.0,0.022519542405395963
SRLN,ETF,totalAssets,4698329600.0,40.37,3.07907,0.07627124102055984,0.1514295838710152,0.03716737207832341,-0.024667472793228562,0.06291547958214627,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;realized_vol_1y<0.08;option_liquidity_missing,0.388231,0.953391,0.0,0.0,0.475333,0.785837,
USHY,ETF,totalAssets,23919251456.0,37.235,2.55194,0.06853605478716263,0.23451681843805006,0.045195389838627746,0.055381993751774994,0.06316348195329091,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;realized_vol_1y<0.08;option_liquidity_missing,0.38008,0.856701,0.0,0.0,0.555382,0.825977,
EWJ,ETF,marketCap,20372068352.0,88.51,3.49552,0.039492938650999884,0.9300413310771753,0.20014601592123063,0.5396934733941794,0.15988491574188235,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;option_liquidity_missing,0.373415,0.493662,0.0,0.0,1.0,1.0,
JNK,ETF,marketCap,8633746432.0,96.805,6.37183,0.06582129022261246,0.24904289716077094,0.046182871886080515,0.05222500272005215,0.06708252377543722,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;realized_vol_1y<0.08;option_liquidity_missing,0.371617,0.822766,0.0,0.0,0.552225,0.830914,
KWEB,ETF,totalAssets,6039135744.0,29.89,2.09623,0.07013148210103713,1.131139792607031,0.268887686128699,0.0524475524475525,0.3530507685142058,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;option_liquidity_missing,0.371113,0.876644,0.0,0.0,0.346346,1.0,
EFV,ETF,totalAssets,28638212096.0,77.92500000000001,2.97203,0.038139621430863004,0.632824213079953,0.1399704340037855,0.5726082578046325,0.13716449860036228,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;option_liquidity_missing,0.369186,0.476745,0.0,0.0,1.0,1.0,
BKLN,ETF,totalAssets,6260340224.0,20.575,1.43985,0.06998055893074119,0.13608119417257242,0.03490957655326531,-0.018624641833810962,0.05406676069581562,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;realized_vol_1y<0.08;option_liquidity_missing,0.36835,0.874757,0.0,0.0,0.481375,0.774548,
EWT,ETF,marketCap,6914749952.0,81.53,2.81615,0.034541273150987366,1.245150057749216,0.24324850745630028,0.8073761386358587,0.28006329113924044,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;option_liquidity_missing,0.348922,0.431766,0.0,0.0,0.939873,1.0,
SCHF,ETF,totalAssets,56551763968.0,26.4,0.8216,0.031121212121212122,0.8107414682802938,0.14940415265212542,0.4994343891402715,0.14533205004812322,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;option_liquidity_missing,0.347169,0.389015,0.0,0.0,0.999434,1.0,
XLE,ETF,marketCap,10547870720.0,56.49,2.22518,0.039390688617454414,0.1649106110383614,0.19947212771131587,0.3076034203836375,0.2206362153344209,2026-05-15,,,,,,,,,,,,,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,,FAIL,annualized_call_yield_missing;selected_call_spread_pct_missing;option_liquidity_missing,0.344236,0.492384,0.0,0.0,0.807603,1.0,
