ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error
DIA,ETF,marketCap,39453986816.0,485.6300048828125,7.0440000000000005,0.01450486981688825,0.8716822840120639,0.13143026546385939,0.517867641980994,0.15954331762754548,2026-05-15,29.0,510.0,0.69,0.94,0.815,526.0,53.0,13047.0,0.05018222694676422,0.3067484662576687,0.0016782323822776722,0.02112257998383967,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
SMH,ETF,marketCap,5307924992.0,454.79998779296875,1.105,0.002429639467147504,1.845178154391304,0.3006058812308485,2.6831322903478667,0.3573876619263665,2026-05-15,29.0,480.0,9.15,10.0,9.575,857.0,1128.0,58330.0,0.055408999303893314,0.08877284595300258,0.02105321076736412,0.2649800665547553,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLF,ETF,marketCap,45965643776.0,52.029998779296875,0.792,0.015221987672141609,0.8507756635150491,0.15354914645504855,0.692307501422524,0.15540287926214802,2026-05-15,29.0,55.0,0.14,0.17,0.15500000000000003,26549.0,146.0,255299.0,0.05708247723205617,0.19354838709677416,0.002979050617653977,0.03749494742909316,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLK,ETF,marketCap,41357955072.0,152.02000427246094,0.765,0.005032232459544687,1.4432231499006571,0.21158406797419868,1.1151931734862415,0.2565629828243088,2026-05-15,29.0,160.0,1.01,1.3,1.155,3197.0,224.0,24589.0,0.05249306343418292,0.25108225108225113,0.007597684301665509,0.09562602655544519,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
GDX,ETF,totalAssets,28155811840.0,97.66000366210938,0.633,0.006481670860776289,0.4964831159583658,0.444307444513403,1.896860455787631,0.3083563080157382,2026-05-15,29.0,103.0,2.88,3.3,3.09,266.0,1104.0,148339.0,0.05467946075822705,0.13592233009708737,0.03164038382274681,0.3982324170793995,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLE,ETF,marketCap,10547870720.0,56.58000183105469,1.4915,0.026360904060299454,0.17565352524908193,0.19840600280054105,0.44193694118909743,0.20137289153360516,2026-05-15,29.0,59.0,0.72,1.1,0.91,7575.0,247.0,167051.0,0.04277126353179206,0.4175824175824177,0.016083421183286963,0.20242926661723246,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
SOXX,ETF,marketCap,3105517568.0,405.95001220703125,1.6680000000000001,0.004108880280435448,1.9162600293073213,0.3260664199643964,1.9585469543224825,0.4136105655881769,2026-05-15,29.0,425.0,8.6,11.0,9.8,17.0,7.0,11255.0,0.0469269299670656,0.2448979591836735,0.024140903326299396,0.30384240393445794,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
EEM,ETF,marketCap,46987378688.0,62.45000076293945,1.215,0.01945556421387642,0.9637101573181014,0.1818709017556482,0.7072189522877623,0.17292434044221583,2026-05-15,29.0,65.5,0.46,0.65,0.555,415.0,566.0,415936.0,0.04883905844354364,0.34234234234234234,0.00888710957917812,0.11185499987586253,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
EFA,ETF,marketCap,96664584192.0,103.01000213623047,3.247,0.03152121087917124,0.7840900889350189,0.1433345662843737,0.5629791944301157,0.14053481895395037,2026-05-15,29.0,108.0,0.08,0.75,0.415,6259.0,23.0,124505.0,0.048441877102092246,1.6144578313253013,0.004028734990716373,0.05070649212453365,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLV,ETF,marketCap,28943013888.0,146.61000061035156,2.5069999999999997,0.01709978848348078,0.5575891542442807,0.16018036140259262,0.1508444661480206,0.1710899115984187,2026-05-15,29.0,154.0,0.22,0.93,0.5750000000000001,185.0,3.0,8215.0,0.050405834246525894,1.2347826086956522,0.00392196983566073,0.04936272379366091,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""yahoo"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
