ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error
HDV,ETF,totalAssets,13547995136.0,133.57000732421875,3.959,0.029639887571393124,0.23793565990387808,0.09974154647483298,0.4298376323447848,0.10493731210802182,2026-05-15,29,140.0,0.0,0.75,0.65,15.0,1.0,8752.0,0.04813949482067126,1.1538461538461537,0.004866361940238831,0.0612490382133508,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
SPYD,ETF,totalAssets,7048502272.0,45.9922981262207,1.988,0.04322462849201745,0.4762941514613341,0.1242455593900196,0.38732709911296537,0.16129867106133955,2026-05-15,29,48.0,0.0,0.75,0.09,9.0,4.0,164.0,0.043653001819334625,8.333333333333334,0.0019568493784112525,0.024629311142072664,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
FDVV,ETF,totalAssets,8527058944.0,58.309898376464844,1.657,0.028417130643959444,0.71436660514706,0.10648928099270906,0.6719731672063955,0.15901809257152477,2026-05-15,29,61.0,0.0,1.5,0.3,21.0,1.0,144.0,0.046134562028681936,5.0,0.005144924075550895,0.06475507888193367,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLE,ETF,marketCap,10546937856.0,56.57500076293945,1.4915,0.026363234288757375,0.1747723114354395,0.19839999319204785,0.44180976969517616,0.20137289153360516,2026-05-22,36,59.5,0.65,1.0,0.825,8.0,2.0,1076.0,0.05170126730208757,0.42424242424242425,0.014582412529818862,0.14784946037177457,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLF,ETF,marketCap,46018650112.0,52.09000015258789,0.792,0.015204453785371176,0.8510853054128394,0.15352953433065408,0.6942593980743377,0.15540286768606792,2026-05-22,36,54.5,0.29,0.34,0.315,52.0,5.0,2031.0,0.04626607487718304,0.15873015873015886,0.006047225937363536,0.06131215186493585,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLP,ETF,marketCap,17092237312.0,81.32499694824219,2.175,0.02674454450191051,0.13027520703305479,0.12635888518148586,0.17283481300701542,0.1336548916483178,2026-05-22,36,85.0,0.35,0.62,0.485,3.0,3.0,120.0,0.045189095476962704,0.5567010309278351,0.005963726015368552,0.06046555543359782,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLU,ETF,marketCap,7517950976.0,46.04499816894531,1.1895,0.025833424851827855,0.30848233987810625,0.1413241328696008,0.44917136275296965,0.1839225995197611,2026-05-22,36,48.5,0.2,0.3,0.25,83.0,1.0,254.0,0.053317448771459386,0.3999999999999999,0.005429471385419894,0.05504880710217393,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLV,ETF,marketCap,28939065344.0,146.58999633789062,2.5069999999999997,0.017102121990789556,0.5582081828660475,0.16018742914392103,0.1506875075309737,0.17108994448108517,2026-05-22,36,154.0,0.56,0.94,0.75,17.0,1.0,241.0,0.050549176937212614,0.5066666666666665,0.005116310926642269,0.051873708006234115,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
SMH,ETF,marketCap,5292286464.0,453.4599914550781,1.105,0.0024368191699872745,1.8453027622054432,0.3006149162095532,2.6722805227280326,0.35738759167647716,2026-05-22,36,475.0,13.5,14.25,13.875,199.0,36.0,5356.0,0.047501453161950424,0.05405405405405406,0.030598068763414872,0.31023041940684526,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
SOXX,ETF,marketCap,3094042624.0,404.45001220703125,1.6680000000000001,0.004124119049713809,1.9159749711758964,0.32601210832210764,1.9476153439484114,0.41361042919920854,2026-05-22,36,420.0,12.2,15.7,13.95,5.0,2.0,236.0,0.03844724273369282,0.2508960573476703,0.03449128341936908,0.3497032902241587,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
KRE,ETF,totalAssets,3711147008.0,68.82499694824219,1.573,0.02285506821283157,1.0648821433246398,0.239562009249484,0.7675649096915667,0.28200974732041895,2026-05-22,36,72.0,0.99,1.14,1.065,4.0,,226.0,0.046131539303161606,0.14084507042253513,0.015474029018859265,0.15688946088565645,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
IYR,ETF,marketCap,4993973248.0,101.19499969482422,2.247,0.02220465444712014,0.45791167116216586,0.13429879538759093,0.29085062923930716,0.1752353557439943,2026-05-22,36,104.0,0.6,1.0,0.8,1.0,,50.0,0.027718763907652377,0.5,0.007905528953135788,0.08015327966373784,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
VNQ,ETF,marketCap,35163492352.0,94.98999786376953,3.487,0.03670912810210715,0.4737197644687778,0.13462481187128916,0.2963807628184223,0.17454819081827821,2026-05-15,29,100.0,0.05,0.15,0.1,2.0,20.0,1551.0,0.052742417611332026,0.9999999999999999,0.001052742417611332,0.013250033876832282,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
PFF,ETF,marketCap,13116314624.0,31.344999313354492,1.7799999999999998,0.05678736765011296,0.38289414948365325,0.06970860014667575,0.20796509223613469,0.10630200794300582,2026-05-15,29,32.0,0.0,0.1,0.05,8.0,2.0,513.0,0.02089649708068242,2.0,0.0015951507766885666,0.020076897706597478,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
