ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,as_of_date,error,status,fail_reasons,score_total,score_dividend,score_call,score_liquidity,score_quality,score_risk_fit,combined_income_score_proxy
DGRO,ETF,totalAssets,37549682688.0,72.36000061035156,1.471,0.0203289108290798,0.6495309743277579,0.1056125677785162,0.5385859512661693,0.140262619522521,2026-05-15,29,74.0,0.0,0.0,0.34,0.0,2.0,0.0,0.022664446874173,0.0,0.0046987285396921,0.0591391695512977,2026-04-16,,FAIL,option_liquidity<oi:50|vol:3,0.369649,0.005482,0.194261,0.3,1.0,1.0,0.0794680803803775
XLF,ETF,marketCap,46089322496.0,52.16999816894531,0.792,0.0151811391182192,0.8498923610462338,0.1535296422414522,0.6931883968255934,0.1554028676860679,2026-05-22,36,55.0,0.0,0.0,0.3,0.0,127.0,0.0,0.0542457720985558,0.0,0.0057504314841739,0.058302985881208,2026-04-16,,FAIL,dividend_yield<0.02,0.366606,0.0,0.188687,0.3,1.0,1.0,0.07348412499942719
DVY,ETF,marketCap,26583093248.0,151.86000061035156,5.244,0.0345318054716413,0.5483607707309217,0.1196078062601836,0.4270299978506289,0.1600022476834812,2026-05-15,29,159.0,0.0,0.0,0.1,0.0,17.0,0.0,0.0470169851241377,0.0,0.0006585012485057,0.0082880329553309,2026-04-16,,FAIL,annualized_call_yield<0.03,0.359604,0.242197,0.0,0.3,0.92703,1.0,0.0428198384269722
SCHD,ETF,totalAssets,84820000768.0,30.649999618530273,1.0550000000000002,0.034420881341942,0.4522075818948379,0.1175227917216677,0.3981818463410356,0.1612483243147001,2026-05-22,36,32.0,0.0,0.0,0.06,0.0,16.0,0.0,0.0440456899925554,0.0,0.001957585668736,0.0198477435857959,2026-04-16,,FAIL,annualized_call_yield<0.03,0.354814,0.240348,0.0,0.3,0.898182,1.0,0.0542686249277379
VNQ,ETF,marketCap,34904367104.0,94.29000091552734,3.487,0.036981651990055,0.4727016497979991,0.1344727432546128,0.2806348058289147,0.1745481087509833,2026-05-15,29,99.0,0.0,0.0,0.13,0.0,31.0,0.0,0.049952264701877,0.0,0.0013787251960731,0.0173529205712657,2026-04-16,,FAIL,annualized_call_yield<0.03,0.347852,0.283028,0.0,0.3,0.780635,1.0,0.054334572561320696
IYR,ETF,marketCap,4958194688.0,100.47000122070312,2.247,0.0223648847685788,0.4569634467913506,0.1341505643760075,0.2752758022281101,0.1752352964688965,2026-05-22,36,104.0,0.0,0.0,0.51,0.0,,0.0,0.0351348535523803,0.0,0.0050761420703049,0.0514664404350362,2026-04-16,,FAIL,option_liquidity<oi:50|vol:3,0.329078,0.039415,0.14311,0.3,0.775276,1.0,0.07383132520361499
VYM,ETF,totalAssets,88722817024.0,153.0500030517578,3.513,0.0229532827830914,0.6870600468716507,0.110515963546014,0.5613553580402886,0.144553170425108,2026-05-15,29,161.0,0.0,0.0,0.27,0.0,2.0,0.0,0.0519437882373232,0.0,0.001764129334311,0.0222036967939148,2026-04-16,,FAIL,annualized_call_yield<0.03;option_liquidity<oi:50|vol:3,0.322305,0.049221,0.0,0.3,1.0,1.0,0.0451569795770062
XLV,ETF,marketCap,29172017152.0,147.77000427246094,2.5069999999999997,0.0169655540875369,0.5592383226310925,0.1601007516861426,0.1602970325322115,0.1710899444810851,2026-05-22,36,155.0,0.0,0.0,0.87,0.0,1.0,0.0,0.0489273568281711,0.0,0.0058875277447774,0.0596929896345494,2026-04-16,,FAIL,dividend_yield<0.02;option_liquidity<oi:50|vol:3,0.318431,0.0,0.197953,0.3,0.660297,1.0,0.0766585437220863
VTV,ETF,marketCap,85715673088.0,202.0399932861328,3.972,0.0196594740249014,0.6482425816176575,0.110022279191565,0.5485674728732433,0.1451953475689873,2026-05-15,29,210.0,0.0,0.0,0.45,0.0,4.0,196.0,0.0393981735219821,0.0,0.0022272818004042,0.028033029556812,2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.03,0.31,0.0,0.0,0.3,1.0,1.0,0.0476925035817134
DIA,ETF,marketCap,39380058112.0,484.7200012207031,7.0440000000000005,0.0145321009701696,0.8720516838847042,0.1315232306081466,0.5137192768443424,0.159543110055971,2026-05-22,36,510.0,0.0,0.0,1.18,0.0,1.0,0.0,0.052153818112792,0.0,0.0024343951085746,0.0246820615174934,2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.03;option_liquidity<oi:50|vol:3,0.31,0.0,0.0,0.3,1.0,1.0,0.039214162487663004
SPY,ETF,marketCap,642392326144.0,699.9400024414062,7.382,0.0105466182447801,0.9999999999999998,0.1328069538672378,0.7752538848617716,0.1875524692549108,2026-05-22,36,735.0,0.0,0.0,1.76,0.0,737.0,0.0,0.0500900040522098,0.0,0.002514501234193,0.0254942486244572,2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.03,0.31,0.0,0.0,0.3,1.0,1.0,0.0360408668692373
VIG,ETF,totalAssets,117045436416.0,224.3699951171875,3.4530000000000003,0.0153897583239528,0.7578968857845785,0.1123980055165289,0.5275358359221975,0.1495047285710901,2026-05-15,29,235.0,0.0,0.0,0.16,0.0,2.0,45.0,0.047377123118715,0.0,0.0007131078285063,0.0089753226691317,2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.03;option_liquidity<oi:50|vol:3,0.31,0.0,0.0,0.3,1.0,1.0,0.0243650809930845
VTI,ETF,marketCap,715931123712.0,345.239990234375,3.769,0.010917043525118,1.0159834423474423,0.1354108498085457,0.7631621643483468,0.1930359178623067,2026-05-15,29,365.0,0.0,0.0,0.35,0.0,9.0,0.0,0.0572355761921161,0.0,0.0010137875388143,0.0127597397126634,2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.03,0.31,0.0,0.0,0.3,1.0,1.0,0.0236767832377814
NOBL,ETF,totalAssets,11058682880.0,107.02999877929688,2.272,0.0212276934122462,0.5331809042360163,0.1235650972049903,0.2495292432968441,0.1536448685589748,2026-05-15,29,113.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0557787656618933,0.0,0.0009343174917361,0.0117595132580589,2026-04-16,,FAIL,annualized_call_yield<0.03;option_liquidity<oi:50|vol:3,0.277545,0.020462,0.0,0.3,0.749529,1.0,0.0329872066703051
