ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error
SPY,ETF,marketCap,643970891776.0,701.6599731445312,7.382,0.010520765445572055,1.0000000000000002,0.1327550309567317,0.7868997180767041,0.18755238717833633,2026-05-15,29.0,735.0,1.21,1.24,1.225,5298.0,4113.0,592589.0,0.047515930980148946,0.024489795918367366,0.001745859884966915,0.021973753724583586,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
QQQ,ETF,marketCap,251768750080.0,640.469970703125,2.8120000000000003,0.004390525908518258,1.235342060667547,0.17076211142860878,1.0822600530176167,0.227683192853403,2026-05-15,29.0,670.0,1.56,3.45,2.505,4638.0,3041.0,530795.0,0.04610681319602872,0.7544910179640719,0.003911190398591122,0.04922705156847446,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
IWM,ETF,marketCap,75869446144.0,269.95001220703125,2.537,0.0093980362484826,1.2292939436149057,0.19597838196432152,0.5910991340234668,0.2750309115195011,2026-05-15,29.0,283.0,1.85,1.89,1.87,9785.0,542.0,350591.0,0.04834223820282846,0.0213903743315507,0.0069272084291140965,0.08718727850436708,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
GLD,ETF,marketCap,114552823808.0,440.0799865722656,0.0,0.0,0.002027696445823955,0.27474599349686385,1.3509801850129168,0.19209514099718206,2026-05-15,29.0,460.0,5.45,5.7,5.575,15067.0,3934.0,603539.0,0.04526452925725888,0.04484304932735426,0.01266815163175917,0.15944397743421024,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
IVV,ETF,marketCap,438031155200.0,704.739990234375,8.06,0.011436842114379646,0.9944254483779481,0.13207861833782564,0.7905909327225364,0.18754512153942393,2026-05-15,29.0,730.0,1.9,3.4,2.65,22.0,4.0,327.0,0.03584302028500508,0.5660377358490566,0.003760252059938717,0.047327310409573504,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
VOO,ETF,totalAssets,1421127057408.0,644.8599853515625,7.128,0.01105356226454954,0.9964802938023283,0.13231936961309898,0.7907552270260769,0.18689403311786013,2026-05-15,29.0,675.0,0.8,1.35,1.0750000000000002,36.0,10.0,4056.0,0.04673885080961537,0.5116279069767441,0.0016670285401782768,0.020981566109140377,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
SLV,ETF,marketCap,24324896768.0,71.23999786376953,0.0,0.0,0.7900461908803075,0.5669039102586241,2.0405461773738147,0.4245265025012638,2026-05-15,29.0,75.0,2.86,2.92,2.8899999999999997,23459.0,1665.0,775150.0,0.05277936901992364,0.020761245674740504,0.04056709835290106,0.5105858930623753,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
LQD,ETF,marketCap,32117704704.0,109.43000030517578,4.952,0.04525267281540693,0.1616056547279907,0.057025040709473854,0.13950371336310208,0.08746748052235076,2026-05-15,29.0,115.0,0.0,0.21,0.03,56.0,2.0,69242.0,0.05090011586667953,7.0,0.0002741478563130468,0.003450481639802141,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
HYG,ETF,marketCap,15716459520.0,80.3499984741211,4.667,0.05808338629282158,0.23711664010077868,0.040995180518264424,0.27995517327878217,0.045606785018285745,2026-05-15,29.0,84.0,0.0,0.22,0.02,16505.0,2.0,646602.0,0.045426279965076644,11.0,0.000248911019039304,0.0031328455844602055,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
RSP,ETF,marketCap,31210151936.0,200.63999938964844,3.118,0.015540271179650263,0.8017910675786537,0.12745601614263707,0.4621566960355068,0.17809535959762224,2026-05-15,29.0,210.0,0.0,1.0,0.35,307.0,48.0,2681.0,0.04665072088728528,2.857142857142857,0.0017444178681454753,0.021955604202520636,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
TLT,ETF,marketCap,9464915968.0,86.27999877929688,3.9109999999999996,0.04532916151290506,0.1052111328523868,0.10396964874247845,-0.08851962212172482,0.2130580353367273,2026-05-15,29.0,91.0,0.09,0.11,0.1,43382.0,700.0,629169.0,0.054705624565165145,0.20000000000000004,0.00115901716985183,0.014587629896410962,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
DIA,ETF,marketCap,39453986816.0,485.6300048828125,7.0440000000000005,0.01450486981688825,0.8716817085769178,0.13143022589063771,0.5178674971997457,0.15954305190431362,2026-05-15,29.0,510.0,0.69,0.94,0.815,526.0,53.0,13047.0,0.05018222694676422,0.3067484662576687,0.0016782323822776722,0.02112257998383967,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
SMH,ETF,marketCap,5307924992.0,454.79998779296875,1.105,0.002429639467147504,1.8451784636949304,0.3006058812308485,2.6831322903478667,0.35738759167647716,2026-05-15,29.0,480.0,9.15,10.0,9.575,857.0,1128.0,58330.0,0.055408999303893314,0.08877284595300258,0.02105321076736412,0.2649800665547553,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLF,ETF,marketCap,45965643776.0,52.029998779296875,0.792,0.015221987672141609,0.8507759370919035,0.1535491862864534,0.6923076064093612,0.1554029421768378,2026-05-15,29.0,55.0,0.14,0.17,0.15500000000000003,26549.0,146.0,255299.0,0.05708247723205617,0.19354838709677416,0.002979050617653977,0.03749494742909316,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLK,ETF,marketCap,41357955072.0,152.02000427246094,0.765,0.005032232459544687,1.4432227040836183,0.2115840144971591,1.1151931734862415,0.2565630300156897,2026-05-15,29.0,160.0,1.01,1.3,1.155,3197.0,224.0,24589.0,0.05249306343418292,0.25108225108225113,0.007597684301665509,0.09562602655544519,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
GDX,ETF,totalAssets,28155811840.0,97.66000366210938,0.633,0.006481670860776289,0.4964827613972957,0.444307444513403,1.896860455787631,0.3083563080157382,2026-05-15,29.0,103.0,2.88,3.3,3.09,266.0,1104.0,148339.0,0.05467946075822705,0.13592233009708737,0.03164038382274681,0.3982324170793995,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
XLE,ETF,marketCap,10547870720.0,56.58000183105469,1.4915,0.026360904060299454,0.17565319714321054,0.19840595983012085,0.44193722155147697,0.201372874966825,2026-05-15,29.0,59.0,0.72,1.1,0.91,7575.0,247.0,167051.0,0.04277126353179206,0.4175824175824177,0.016083421183286963,0.20242926661723246,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
SOXX,ETF,marketCap,3105517568.0,405.95001220703125,1.6680000000000001,0.004108880280435448,1.916260734140304,0.32606639304469864,1.9585469543224825,0.4136103710514316,2026-05-15,29.0,425.0,8.6,11.0,9.8,17.0,7.0,11255.0,0.0469269299670656,0.2448979591836735,0.024140903326299396,0.30384240393445794,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,
