ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error
JPM,EQUITY,marketCap,840934686720.0,311.19,5.9,0.01895947813233073,0.9981676365536297,0.2121972045829702,1.4123575470966743,0.2488658689051616,2026-05-15,28,335.0,0.85,1.03,0.94,1814.0,260.0,25121.0,0.07651274141199904,0.19148936170212771,0.0030206626176933703,0.03937649483778858,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
LLY,EQUITY,marketCap,823605198848.0,921.02,6.23,0.006764239647347506,0.6527183288963653,0.414526934155797,1.4550713048114088,0.34829482719110016,2026-05-15,28,990.0,19.35,21.45,20.4,593.0,5.0,4097.0,0.07489522485939504,0.10294117647058813,0.022149356148617835,0.28873267836591104,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
V,EQUITY,marketCap,611034333184.0,316.69,2.52,0.007957308408854084,0.7164696705053403,0.208335792635129,0.36099531565602305,0.20837909512201658,2026-05-15,28,340.0,1.52,1.59,1.5550000000000002,4553.0,9640.0,20984.0,0.07360510278190024,0.04501607717041804,0.004910164514193692,0.06400750170288205,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
XOM,EQUITY,marketCap,605195075584.0,146.34,4.04,0.02760694273609403,-0.062215616441844465,0.23429590477996237,0.2636261553079382,0.20291935869825317,2026-05-15,28,160.0,1.2,1.28,1.24,5644.0,2986.0,63139.0,0.09334426677600116,0.06451612903225812,0.008473418067514008,0.11045705695152189,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
JNJ,EQUITY,marketCap,566025060352.0,235.28,5.2,0.022101326079564776,0.03121351008224425,0.16605824459579718,0.41641081211245545,0.1858092618065107,2026-05-15,28,250.0,0.89,1.1,0.9950000000000001,2908.0,194.0,13277.0,0.0625637538252295,0.2110552763819096,0.004229003740224414,0.05512808447078254,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
MU,EQUITY,marketCap,517359271936.0,459.65,0.495,0.0010769063417817905,2.3766840529647526,0.588708123787154,6.293968253968254,0.5782339524275009,2026-05-15,28,500.0,20.9,21.1,21.0,7712.0,2858.0,41034.0,0.08778418361797025,0.00952380952380966,0.04568693571195475,0.5955618405308387,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
ORCL,EQUITY,marketCap,506543931392.0,173.92,2.0,0.011499540018399266,1.6269010299592663,0.6167004892085705,0.8205128205128205,0.5843206530015533,2026-05-15,28,190.0,4.4,4.55,4.475,19510.0,3594.0,113296.0,0.09245630174793007,0.03351955307262558,0.025730220791168355,0.33541180674201604,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
MA,EQUITY,marketCap,467101908992.0,522.49,3.26,0.006239353863231832,0.7112133716434742,0.21443851605044123,0.4134992560530233,0.191531988780553,2026-05-15,28,565.0,2.4,3.1,2.75,57.0,1.0,3899.0,0.08136040881165196,0.25454545454545463,0.005263258626959368,0.06861033567286319,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
AMD,EQUITY,marketCap,454900940800.0,278.57,,,2.101022338982034,0.5806497424002435,2.024866977956347,0.6300028384899234,2026-05-15,28,300.0,10.05,10.15,10.100000000000001,10299.0,1848.0,53090.0,0.07692859963384424,0.009900990099009865,0.03625659618767276,0.4726306288750199,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
COST,EQUITY,marketCap,440631394304.0,996.05,5.2,0.005220621454746248,0.20835916451683104,0.18830644477130054,1.0002811866074834,0.21066805341455708,2026-05-15,28,1075.0,1.29,2.06,1.675,702.0,16.0,3619.0,0.07926308920234937,0.4597014925373134,0.0016816424878269164,0.021921411002029444,"{""benchmark"":""SPY"",""history_period"":""4y"",""market_data_source"":""ibkr"",""max_otm_pct"":0.15,""min_otm_pct"":0.05,""option_dte_max"":56,""option_dte_min"":25,""option_monthly_only"":true,""option_target_dte"":35,""preferred_otm_pct"":0.08}",2026-04-17,
