symbol,security,gics sector,gics sub-industry,headquarters location,date added,cik,founded,date,asset_type,size_metric,market_bucket,candidate_status,candidate_fail_reasons
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993,2025-08-23,EQUITY,4870476660736.0,equity,PASS,
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,2025-08-23,EQUITY,4110318829568.0,equity,PASS,
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,2025-08-23,EQUITY,4082132844544.0,equity,PASS,
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977,2025-08-23,EQUITY,3976891465728.0,equity,PASS,
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975,2025-08-23,EQUITY,3159392256000.0,equity,PASS,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724,1994,2025-08-23,EQUITY,2730612228096.0,equity,PASS,
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014-05-08,1730168,1961,2025-08-23,EQUITY,1912369053696.0,equity,PASS,
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004,2025-08-23,EQUITY,1734554157056.0,equity,PASS,
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2020-12-21,1318605,2003,2025-08-23,EQUITY,1508027400192.0,equity,PASS,
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962,2025-08-23,EQUITY,1008229875712.0,equity,PASS,
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,19617,2000 (1799 / 1871),2025-08-23,EQUITY,840934686720.0,equity,PASS,
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478,1876,2025-08-23,EQUITY,823605198848.0,equity,PASS,
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",2009-12-21,1403161,1958,2025-08-23,EQUITY,611034333184.0,equity,PASS,
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088,1999,2025-08-23,EQUITY,605195075584.0,equity,PASS,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886,2025-08-23,EQUITY,566025060352.0,equity,PASS,
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978,2025-08-23,EQUITY,517359271936.0,equity,PASS,
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989-08-31,1341439,1977,2025-08-23,EQUITY,506543931392.0,equity,PASS,
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",2008-07-18,1141391,1966,2025-08-23,EQUITY,467101908992.0,equity,PASS,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969,2025-08-23,EQUITY,454900940800.0,equity,PASS,
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,909832,1976,2025-08-23,EQUITY,440631394304.0,equity,PASS,
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997,2025-08-23,EQUITY,411208777728.0,equity,PASS,
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1998 (1923 / 1874),2025-08-23,EQUITY,386868674560.0,equity,PASS,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,18230,1925,2025-08-23,EQUITY,372154531840.0,equity,PASS,
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),2025-08-23,EQUITY,371068633088.0,equity,PASS,
