ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,metrics_signature,as_of_date,error,status,fail_reasons,score_total,score_dividend,score_call,score_liquidity,score_quality,score_risk_fit,combined_income_score_proxy
KWEB,ETF,totalAssets,6039135744.0,30.100000381469727,2.096,0.0696345506125092,1.1451537899644246,0.2647696208744221,0.17477030813596905,0.3136365152934044,2026-05-22,36.0,31.5,0.7,0.9,0.8,1001.0,120.0,23766.0,0.04651161464410292,0.25000000000000006,0.02657807275286611,0.2694721265221147,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.12,0.715832,0.827243,1.0,0.134485,0.547497,1.0,0.33910667713462395
JNK,ETF,marketCap,8633746432.0,96.70999908447266,6.373,0.06589804632748902,0.24789887307476446,0.04199050997433226,0.2842015118678465,0.05020965017805479,2026-05-15,29.0,96.0,0.5,2.9,1.7,8.0,,9.0,-0.007341527155351302,1.411764705882353,0.017578327123290653,0.22124446206900306,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.12;realized_vol_1y<0.08;option_liquidity<oi:50|vol:3,0.689867,0.764967,1.0,0.0,0.784202,0.809953,0.2871425083964921
EWT,ETF,marketCap,6914749952.0,81.3499984741211,2.816,0.03461585805555756,1.2311789953569099,0.23825827183250609,1.196890746546158,0.2566123541576474,2026-05-15,29.0,85.0,0.95,1.5,1.225,280.0,4.0,698.0,0.044867874546304254,0.4489795918367347,0.01505838995669674,0.18952801152394172,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.12,0.615421,0.243598,1.0,0.032525,0.986775,1.0,0.22414386957949928
SPLG,ETF,totalAssets,97328324608.0,82.37999725341797,0.8841410000000001,0.010732471831483544,0.9992379847132725,0.13307401214220266,0.7797037631984562,0.1872341782679583,2026-06-18,63.0,86.0,0.0,0.0,2.85,31.0,1.0,2866.0,0.043942739345403936,0.0,0.0345957768271442,0.20043584987154975,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,dividend_yield<0.02;option_liquidity<oi:50|vol:3,0.61,0.0,1.0,0.3,1.0,1.0,0.2111683217030333
IEFA,ETF,totalAssets,169633218560.0,96.18000030517578,3.178,0.03304221241335326,0.7780504629851307,0.14269584624437537,0.5724285707781855,0.13757155208770544,2026-05-15,29.0,98.0,0.05,3.0,1.525,37.0,1.0,118.0,0.018922849750981685,1.9344262295081969,0.015855687202757623,0.19956295962091491,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.12;option_liquidity<oi:50|vol:3,0.604343,0.21737,1.0,0.0,1.0,1.0,0.23260517203426817
EWJ,ETF,marketCap,20372068352.0,89.41000366210938,3.652,0.04084554133116162,0.9204919023922389,0.19439097163760857,0.6820943539814421,0.14676203313612335,2026-05-22,36.0,93.0,1.05,1.65,1.35,9.0,3.0,22.0,0.04015206566211127,0.4444444444444443,0.015098981598320972,0.1530868967607543,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.12,0.58303,0.347426,0.820579,0.0,1.0,1.0,0.1939324380919159
EFV,ETF,totalAssets,28638212096.0,78.08000183105469,2.972,0.03806352369753594,0.6346987320531523,0.13562059769003654,0.799307324570603,0.13716448335992382,2026-05-15,29.0,80.0,0.05,1.9,0.975,49.0,1.0,6555.0,0.02459013990675496,1.8974358974358974,0.012487192330113575,0.15716638622384327,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.12;option_liquidity<oi:50|vol:3,0.579597,0.301059,0.847776,0.0,1.0,1.0,0.1952299099213792
EMXC,ETF,totalAssets,17542797312.0,87.83999633789062,2.047,0.023303735033479357,0.9837588260682983,0.19304199407249903,0.8913367507079968,0.19115268180569123,2026-05-15,29.0,88.0,1.1,3.6,2.35,5.0,1.0,20.0,0.001821535391393958,1.0638297872340425,0.026753188729201995,0.336721168488232,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.12;option_liquidity<oi:50|vol:3,0.563766,0.055062,1.0,0.0,1.0,1.0,0.3600249035217114
EWZ,ETF,marketCap,8316808704.0,41.470001220703125,1.6480000000000001,0.03973956960428703,0.9220013781232201,0.24321197115902157,0.7060207112013364,0.3135938877946369,2026-05-22,36.0,44.0,0.49,0.78,0.635,36.0,1.0,367.0,0.061007926328051854,0.45669291338582685,0.015312273482234384,0.15524943947265415,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.12;option_liquidity<oi:50|vol:3,0.563669,0.328993,0.834996,0.0,0.872812,1.0,0.1949890090769412
SCHH,ETF,totalAssets,9150117888.0,23.079999923706055,0.652,0.028249566817819365,0.40837963844036956,0.1338242785098662,0.30931197473081373,0.17754088389457323,2026-05-15,29.0,23.0,0.15,1.6,0.875,12.0,1.0,34.0,-0.0034662012118936714,1.6571428571428573,0.037911611910417094,0.4771633912862841,"{""benchmark"":""SPY"",""history_period"":""4y"",""option_dte_max"":45,""option_dte_min"":25,""option_target_dte"":35,""target_otm_pct"":0.05}",2026-04-16,,FAIL,selected_call_spread_pct>0.12;option_liquidity<oi:50|vol:3,0.55577,0.137493,1.0,0.0,0.809312,1.0,0.5054129581041035
